citizen,agedef,age,unit,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,REACH,TOTAL,NR,T,DE	639064 	636854 	737889 	286582 b	252456 	249045 	240001 	259328 	324221 	347162 	533762 be	560700 be
TOTAL,REACH,TOTAL,NR,T,DK	46786 	41566 	38356 b	39899 	41456 	41593 	43663 	43310 	44426 	44625 	52654 	56403 
TOTAL,REACH,TOTAL,NR,T,EE	5527 	4384 	4406 	4658 	5294 	6214 	6321 	6740 	4637 	13003 b	13792 	12358 
TOTAL,REACH,TOTAL,NR,T,EL	38368 	40400 	43044 b	43686 	62041 b	92404 	124694 	117094 	106804 b	109351 	106535 	103327 
TOTAL,REACH,TOTAL,NR,T,ES	142296 	227065 	288432 b	380121 	403377 	409034 	446606 	532303 	400430 	343875 	327325 	368860 
TOTAL,REACH,TOTAL,NR,T,FI	12107 	12443 	13657 	12151 	11905 	12660 	13845 	13893 	15486 	16305 	18082 	16973 
TOTAL,REACH,TOTAL,NR,T,FR	189403 b	220354 	239796 	264631 	269531 b	291594 	255922 	239813 	308103 	323847 	320705 	312554 
TOTAL,REACH,TOTAL,NR,T,HR	7692 	9002 	10638 b	12355 	13017 	12699 	12877 	15262 	20858 	29651 	36436 	47352 
TOTAL,REACH,TOTAL,NR,T,HU	4314 p	4500 	9591 b	10483 	13365 b	15100 	22880 	34691 	42213 	43225 	39889 	39829 
TOTAL,REACH,TOTAL,NR,T,IE	44409 b	48040 	65934 	69672 	78099 	83049 b	81797 	76560 	71107 	67160 	62056 	64068 
TOTAL,REACH,TOTAL,NR,T,IS	4577 	7414 	9144 	6874 b	5459 	4812 	4758 	4372 	4052 	4046 	4159 	3641 
TOTAL,REACH,TOTAL,NR,T,IT	58407 	51113 	80947 	80597 	78771 	82461 	106216 	125735 	136328 	146955 	157065 	155110 
TOTAL,REACH,TOTAL,NR,T,KG	34423 	54608 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,LI	: 	: 	490 b	455 	428 	467 	439 	497 	476 	468 	522 	426 
TOTAL,REACH,TOTAL,NR,T,LT	32390 	30383 	25750 	38500 	83157 	53863 	41100 	38818 	36621 	44533 	50333 	47925 
TOTAL,REACH,TOTAL,NR,T,LU	9001 	10674 	10058 	9168 	9302 	9264 	10442 	10750 	11283 	12644 	13442 	13831 
TOTAL,REACH,TOTAL,NR,T,LV	17019 	15463 	27045 	38208 	39651 	30311 	25163 	22561 	19017 	20119 	20574 	17724 
TOTAL,REACH,TOTAL,NR,T,MD	: 	7172 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,MK	1108 	240 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,REACH,TOTAL,NR,T,MT	3835 	3730 	3719 	3868 	4201 	3806 	4005 	4778 	5108 	7095 	8303 	7020 
TOTAL,REACH,TOTAL,NR,T,NL	91028 	91287 	90067 	92825 b	95970 	104201 	110431 	112625 	112900 	112330 	111477 	108231 
TOTAL,REACH,TOTAL,NR,T,NO	22053 	22122 	12976 b	17072 	25835 	20349 	22693 	26523 	29308 	29173 	34694 	31963 
