citizen,agedef,age,unit,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
TOTAL,COMPLET,TOTAL,NR,T,AT	98535 	72862 b	73772 	69295 	70978 	82230 	91557 	101866 	116262 	166323 	129509 	111801 
TOTAL,COMPLET,TOTAL,NR,T,BE	137699 	146409 	: 	: 	135281 b	147377 b	129477 	120078 	123158 	146626 	123702 	126703 
TOTAL,COMPLET,TOTAL,NR,T,BG	: 	1561 	: 	: 	: 	: 	14103 bp	18570 p	26615 p	25223 p	21241 	25597 p
TOTAL,COMPLET,TOTAL,NR,T,CH	127586 	165634 	184297 	160623 	161778 	148799 b	149051 	160157 	156282 	153627 	149305 	143377 
TOTAL,COMPLET,TOTAL,NR,T,CY	13077 	19328 	21060 	22581 b	20206 	23037 	17476 	13149 	9212 	15183 	17391 	21306 
TOTAL,COMPLET,TOTAL,NR,T,CZ	68183 	104445 	108267 b	75620 	48317 	27114 b	34337 	30124 b	29897 	29602 	64083 	51847 
TOTAL,COMPLET,TOTAL,NR,T,DE	661855 	680766 	682146 	346216 b	404055 	489422 	592175 	692713 	884893 	1543848 e	1029852 b	917109 be
TOTAL,COMPLET,TOTAL,NR,T,DK	56750 	64656 	57357 b	51800 	52236 	52833 	54409 	60312 	68388 	78492 	74383 	68579 
TOTAL,COMPLET,TOTAL,NR,T,EE	2234 	3741 	3671 	3884 	2810 	3709 	2639 	4109 	3904 	15413 b	14822 	17616 
TOTAL,COMPLET,TOTAL,NR,T,EL	63094 	63298 	66529 	58613 	60462 	60089 b	58200 	57946 	59013 	64446 b	116867 b	112247 
TOTAL,COMPLET,TOTAL,NR,T,ES	840844 	958266 	599075 b	392962 	360705 	371331 	304053 	280772 	305454 	342114 	414746 	532132 
TOTAL,COMPLET,TOTAL,NR,T,FI	22451 	26029 	29114 	26699 	25636 	29481 	31278 	31941 	31507 	28746 	34905 	31797 
TOTAL,COMPLET,TOTAL,NR,T,FR	301544 b	293980 	296608 	296970 	307111 b	319816 	327431 	338752 	340383 	364221 	378115 	369964 
TOTAL,COMPLET,TOTAL,NR,T,HR	14978 	14622 	16883 b	13213 	8846 	8534 	8959 	10378 	10638 	11706 	13985 	15553 
