Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 63
Ireland,33765.537887815095,35296.067139257,35809.0425897925,37509.4285822387,38905.4532136962,39961.6598546749,40845.0997535316,38445.6273064703,36296.309191632405,36749.4635599009,37681.7227369629,37536.3279489461,37951.129132301096,40812.4107399726,50761.061808944694,52771.840112210804,56200.6049516288,,
Italy,27786.6311183503,27814.243244716803,27732.7826190416,27989.7659243572,28117.0710437926,28595.189538025897,28870.4995062314,28378.6192368908,26700.9570039884,27067.8882651044,27177.1888620927,26339.9673196297,25586.4334179124,25381.5698001321,25647.8984508991,25912.007782343302,26334.328828907997,,
Lithuania,5622.87823792547,6051.41114012594,6743.69873855599,7266.562987200459,7956.59603169635,8683.41648039747,9761.417407391591,10121.5197088641,8718.369852376729,9049.11451395126,9815.15153816813,10328.3724031243,10798.4488565228,11277.000320901201,11615.2058067203,12039.5870137377,12679.658672125,,
Luxembourg,71499.2378687504,73456.5092172354,73751.6285454908,75337.229177354,76547.0420803254,79237.01487611,84541.1370582488,81980.7817456257,76968.9905038943,79253.5244884634,79479.6169361451,77320.0852817424,78314.5814929329,80905.2629876024,81279.5380650417,81998.5876628397,81443.13027463549,,
Latvia,5646.8023293128,6118.57293804403,6698.836734114089,7336.854133360909,8209.916566873579,9270.67374638077,10279.375546794201,10019.446825044699,8719.25213466693,8551.80483944402,9264.65874548298,9758.74924237546,10103.5069736521,10388.6297498924,10785.2797964326,11124.7110924673,11743.461772313702,,
Malta,13801.5612119238,14107.670044877299,14371.6976682339,14338.7960166273,14786.7688208521,15002.4179142775,15546.1689007779,15962.225712603702,15452.255519701699,15921.2849932933,16063.6897383416,16351.7670250555,16867.2690607488,17875.404433930602,19133.2268291642,19678.4493890495,20495.086956148,,
Netherlands,35305.053850823104,35116.7761341944,35050.7155244321,35638.442396251696,36323.3895764353,37541.1331485105,38844.9936441257,39351.502691328904,37674.6479816445,38007.6451993856,38460.1422122732,37913.045078825,37729.483198242,38127.6837342739,38817.2304266082,39464.4870141561,40468.774245084904,,
Poland,26037.298150631203,26581.1859154676,27546.7188532681,28978.3728668279,30003.961787947203,31878.2828583015,34139.391304849705,35585.3636907268,36564.1779193393,37991.3736094147,39876.0431812781,40517.309596228,41106.071062304705,42501.9536729907,44163.002286185896,45535.107675681604,47716.1782934577,,
Portugal,16442.922081669298,16478.837667092,16263.7209012373,16518.8031966467,16614.6127275826,16842.2471709575,17228.1036433398,17237.5614843358,16708.2731033822,17017.6969857468,16731.4000583468,16122.6487145221,16028.1617091227,16258.753010029199,16623.7015735355,16946.2825743609,17454.0565323433,,
Romania,10475.926905738599,11222.597035981102,11928.2892082005,12999.183096874,13625.379549463301,14810.458361329,16062.547963696,17681.493338526998,16775.6287263127,16401.0922971752,16812.7821934284,17238.5829419482,17910.818585933997,18591.2346384011,19402.112923728702,20450.3456748166,22064.714955511,,
Slovakia,8047.0338827861,8414.042669844699,8875.81601429567,9344.4831617116,9974.34711501828,10816.9701998156,11981.6606637639,12645.352971325101,11943.726856089199,12534.2094895824,12870.9552710589,13061.9977997548,13242.4682634348,13593.4822499114,14103.4355795871,14553.556954245,15023.245314429,,
Slovenia,14412.544351073799,14946.9205276431,15362.458555327801,16020.7341768602,16633.2101791875,17517.9926631946,18629.5598581255,19213.9504659341,17556.3784614072,17696.344936963702,17774.2977422043,17263.5026266808,17044.920151090802,17535.4667843529,17918.0980561959,18468.6999586449,19376.2768368471,,
Sweden,326290.248607233,331973.999205374,338631.664807854,351875.69821019104,360348.641109457,375126.27326343604,385033.29437439,379917.235353192,357164.12782041,375340.873005972,382442.53780711704,378536.86597459,380001.66451762,386048.63187402,399261.224350676,407030.67644789896,410361.745392016,,
