indic_et,sitc06,partner,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
CONT_IMP_EU,TOTAL,EU28,EU28	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
CONT_IMP_EU,TOTAL,EU28,FI	1.5 	1.5 	1.3 	1.3 	1.4 	1.3 	1.4 	1.4 	1.3 	1.3 	1.4 	1.4 
CONT_IMP_EU,TOTAL,EU28,FR	12.2 	12.5 	13.1 	12.7 	12.6 	12.7 	12.6 	12.2 	11.9 	11.8 	11.6 	11.4 
CONT_IMP_EU,TOTAL,EU28,HR	0.5 	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.5 	0.5 	0.5 
CONT_IMP_EU,TOTAL,EU28,HU	1.9 	1.9 	1.8 	1.8 	1.9 	1.9 	2.0 	2.1 	2.1 	2.2 	2.2 	2.2 
CONT_IMP_EU,TOTAL,EU28,IE	1.6 	1.5 	1.4 	1.3 	1.3 	1.3 	1.3 	1.4 	1.5 	1.6 	1.7 	1.7 
CONT_IMP_EU,TOTAL,EU28,IT	8.3 	7.9 	8.0 	8.2 	7.9 	7.3 	7.2 	7.1 	7.3 	7.3 	7.4 	7.3 
CONT_IMP_EU,TOTAL,EU28,LT	0.5 	0.5 	0.4 	0.4 	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 
CONT_IMP_EU,TOTAL,EU28,LU	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.5 	0.5 	0.5 	0.5 
CONT_IMP_EU,TOTAL,EU28,LV	0.3 	0.3 	0.2 	0.3 	0.3 	0.4 	0.4 	0.4 	0.3 	0.3 	0.4 	0.4 
CONT_IMP_EU,TOTAL,EU28,MT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
CONT_IMP_EU,TOTAL,EU28,NL	6.8 	7.1 	7.3 	7.3 	7.2 	7.5 	7.4 	7.1 	7.1 	7.0 	7.1 	7.3 
CONT_IMP_EU,TOTAL,EU28,PL	3.4 	3.8 	3.6 	3.8 	3.8 	3.8 	3.9 	4.1 	4.2 	4.3 	4.5 	4.5 
CONT_IMP_EU,TOTAL,EU28,PT	1.8 	1.8 	1.9 	1.8 	1.6 	1.5 	1.5 	1.5 	1.5 	1.6 	1.6 	1.6 
CONT_IMP_EU,TOTAL,EU28,RO	1.4 	1.5 	1.3 	1.4 	1.5 	1.5 	1.5 	1.5 	1.6 	1.7 	1.7 	1.8 
CONT_IMP_EU,TOTAL,EU28,SE	3.0 	3.0 	2.7 	3.0 	3.1 	3.1 	3.0 	2.9 	2.9 	3.0 	2.9 	2.9 
CONT_IMP_EU,TOTAL,EU28,SI	0.7 	0.7 	0.7 	0.7 	0.7 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 
CONT_IMP_EU,TOTAL,EU28,SK	1.3 	1.4 	1.4 	1.4 	1.5 	1.6 	1.6 	1.6 	1.7 	1.8 	1.8 	1.8 
CONT_IMP_EU,TOTAL,EU28,UK	9.6 	8.6 	8.6 	8.8 	8.5 	9.3 	9.3 	9.6 	10.1 	9.5 	9.0 	8.7 
MIO_BAL_VAL,TOTAL,EU28,AT	-6890.0 	-7978.4 	-8912.0 	-10356.7 	-15423.0 	-15429.3 	-13290.0 	-11471.5 	-11489.6 	-14122.9 	-14350.4 	-15312.1 
MIO_BAL_VAL,TOTAL,EU28,BE	27543.3 	25205.5 	22312.3 	20637.5 	19030.5 	12106.7 	21664.5 	28798.8 	43930.1 	40516.2 	41480.0 	42216.9 
MIO_BAL_VAL,TOTAL,EU28,BG	-4513.8 	-5047.1 	-2490.3 	-1740.8 	-1237.6 	-2723.0 	-2072.6 	-2347.5 	-2100.3 	-1447.8 	-1667.4 	-1128.0 
MIO_BAL_VAL,TOTAL,EU28,CY	-3614.8 	-4153.0 	-3470.1 	-3852.8 	-3427.1 	-3107.5 	-2469.4 	-2640.4 	-2717.9 	-3381.4 	-3837.1 	-4033.5 
MIO_BAL_VAL,TOTAL,EU28,CZ	7524.6 	10880.0 	10104.0 	12976.0 	16003.9 	16386.6 	15661.5 	18437.5 	20050.8 	21099.2 	22477.7 	25243.1 
MIO_BAL_VAL,TOTAL,EU28,DE	128590.7 	112062.6 	73457.2 	69347.9 	57473.8 	48353.6 	43549.6 	53779.8 	71186.6 	73424.0 	67735.8 	56202.5 
MIO_BAL_VAL,TOTAL,EU28,DK	767.9 	2319.7 	3920.4 	4007.8 	4106.8 	2916.5 	1700.7 	1357.3 	-829.2 	-1997.3 	-1541.4 	-4287.7 
MIO_BAL_VAL,TOTAL,EU28,EE	-3349.5 	-2758.8 	-1332.8 	-1397.9 	-1626.9 	-2686.9 	-2690.0 	-2528.6 	-1990.6 	-2251.3 	-2727.0 	-2599.9 
MIO_BAL_VAL,TOTAL,EU28,EL	-23800.1 	-23800.5 	-20117.4 	-15784.8 	-12556.4 	-10581.4 	-9348.9 	-10207.8 	-9064.4 	-9874.8 	-10688.3 	-10724.9 
MIO_BAL_VAL,TOTAL,EU28,ES	-47971.8 	-36211.0 	-17109.5 	-13625.9 	-7092.1 	3946.7 	8821.3 	956.0 	-5193.1 	1163.4 	1541.8 	1311.1 
MIO_BAL_VAL,TOTAL,EU28,EU28	67187.5 	74176.7 	65796.7 	70763.1 	67218.4 	67713.9 	67165.1 	74495.9 	73317.7 	69743.3 	68494.3 	72356.9 
MIO_BAL_VAL,TOTAL,EU28,FI	-821.6 	-1996.6 	-3303.2 	-4781.4 	-5509.7 	-6853.8 	-7725.4 	-7275.4 	-7965.7 	-9495.3 	-8932.5 	-8494.5 
MIO_BAL_VAL,TOTAL,EU28,FR	-52063.0 	-64372.6 	-63129.8 	-74655.5 	-87161.4 	-91096.7 	-88976.5 	-84486.1 	-86930.3 	-89498.1 	-102884.7 	-102662.0 
MIO_BAL_VAL,TOTAL,EU28,HR	-6768.9 	-7507.1 	-4995.5 	-3670.4 	-4329.5 	-4531.9 	-5190.6 	-6453.4 	-6740.5 	-7042.3 	-7993.7 	-8496.9 
MIO_BAL_VAL,TOTAL,EU28,HU	7343.7 	8061.5 	9286.3 	11217.7 	11123.7 	10026.4 	8943.4 	7235.5 	8719.4 	9054.4 	9445.6 	10018.4 
MIO_BAL_VAL,TOTAL,EU28,IE	13513.9 	13826.2 	21432.6 	19717.0 	18364.4 	19388.4 	13060.7 	8721.2 	13068.7 	11216.0 	7999.6 	11960.9 
MIO_BAL_VAL,TOTAL,EU28,IT	8129.7 	10171.6 	-1911.6 	-7347.7 	-4310.1 	9062.1 	9660.8 	14933.6 	8584.9 	10075.9 	8722.6 	10366.8 
MIO_BAL_VAL,TOTAL,EU28,LT	-4068.7 	-2471.2 	-165.4 	-439.8 	-583.6 	-415.9 	-2196.3 	-3623.8 	-3150.1 	-3818.6 	-4734.6 	-4508.7 
MIO_BAL_VAL,TOTAL,EU28,LU	-376.0 	-871.8 	389.5 	-3236.3 	-4886.3 	-4765.3 	-4628.9 	-4205.1 	-2188.1 	-3405.3 	-5074.0 	-6219.4 
MIO_BAL_VAL,TOTAL,EU28,LV	-4270.2 	-3560.9 	-1574.1 	-1874.8 	-2860.3 	-3500.5 	-3525.6 	-3195.1 	-2798.9 	-2715.8 	-3522.6 	-3355.3 
MIO_BAL_VAL,TOTAL,EU28,MT	-1481.1 	-1799.0 	-1587.7 	-1565.0 	-2041.2 	-2664.9 	-2044.8 	-2113.8 	-2554.3 	-2052.2 	-2008.8 	-2395.8 
MIO_BAL_VAL,TOTAL,EU28,NL	137472.7 	152805.9 	120832.8 	153407.5 	170254.2 	178764.7 	176944.8 	180874.3 	177951.7 	180231.6 	200521.1 	206468.8 
MIO_BAL_VAL,TOTAL,EU28,PL	-7681.0 	-11571.3 	343.9 	442.3 	79.3 	5036.0 	7933.3 	11023.6 	17125.0 	16258.6 	17534.9 	20704.3 
MIO_BAL_VAL,TOTAL,EU28,PT	-16351.5 	-19085.9 	-16478.6 	-16687.2 	-11790.8 	-8168.1 	-7790.6 	-10097.8 	-10115.0 	-10226.4 	-12353.3 	-12699.1 
MIO_BAL_VAL,TOTAL,EU28,RO	-15259.8 	-16032.5 	-6844.7 	-6916.6 	-7734.6 	-8535.3 	-7408.1 	-6809.1 	-8340.5 	-8870.5 	-9797.3 	-9892.2 
MIO_BAL_VAL,TOTAL,EU28,SE	-4016.6 	-4239.0 	-3595.1 	-6975.2 	-11364.6 	-9754.5 	-10486.7 	-11538.7 	-13530.6 	-16142.9 	-16608.2 	-16982.6 
MIO_BAL_VAL,TOTAL,EU28,SI	-1066.0 	-1265.4 	42.8 	611.5 	831.7 	816.7 	1566.4 	2722.9 	3056.8 	2840.6 	3608.4 	4486.0 
MIO_BAL_VAL,TOTAL,EU28,SK	4170.3 	4735.9 	4770.4 	5965.8 	6743.5 	8376.6 	7829.6 	7989.3 	5929.6 	5201.1 	5210.6 	4643.9 
MIO_BAL_VAL,TOTAL,EU28,UK	-63504.9 	-51170.1 	-44077.8 	-52658.9 	-52858.2 	-72652.0 	-80326.9 	-93339.7 	-118586.6 	-114994.5 	-109062.5 	-107473.3 
MIO_EXP_VAL,TOTAL,EU28,AT	88163.4 	90590.0 	71526.1 	83149.1 	90943.7 	90844.2 	92433.0 	93774.3 	96519.4 	97073.2 	105903.6 	111602.5 
MIO_EXP_VAL,TOTAL,EU28,BE	239486.1 	246843.8 	201278.8 	224596.3 	246042.0 	243051.1 	247572.4 	250596.4 	256514.2 	259147.7 	275101.8 	287689.3 
MIO_EXP_VAL,TOTAL,EU28,BG	8345.6 	9245.0 	7664.3 	9551.3 	12688.6 	12237.4 	13350.6 	13764.7 	14852.9 	15930.9 	17663.7 	19275.1 
MIO_EXP_VAL,TOTAL,EU28,CY	730.9 	770.8 	604.3 	701.4 	888.9 	821.8 	880.9 	1237.3 	1308.9 	1303.1 	1111.7 	1204.0 
MIO_EXP_VAL,TOTAL,EU28,CZ	76669.5 	85216.4 	68959.9 	84603.6 	97589.5 	99380.2 	99118.7 	108376.8 	118560.3 	122930.6 	135237.3 	144436.2 
MIO_EXP_VAL,TOTAL,EU28,DE	626598.9 	625584.4 	502967.7 	572949.0 	629994.8 	619577.9 	618630.0 	648594.1 	692808.2 	705768.5 	749973.7 	778749.0 
MIO_EXP_VAL,TOTAL,EU28,DK	52879.1 	55607.7 	45611.9 	47792.7 	52548.5 	53148.4 	53202.9 	53464.1 	52791.3 	53107.9 	56114.2 	56413.1 
MIO_EXP_VAL,TOTAL,EU28,EE	5645.3 	5938.0 	4511.4 	5998.2 	7958.1 	8266.9 	8718.9 	8730.6 	8699.6 	8797.6 	9244.5 	9810.9 
MIO_EXP_VAL,TOTAL,EU28,EL	12344.7 	12889.3 	10221.4 	11640.1 	12627.3 	12232.9 	12849.9 	13103.1 	14025.4 	14333.6 	15502.1 	17667.5 
MIO_EXP_VAL,TOTAL,EU28,ES	131075.8 	133434.6 	113991.9 	131996.4 	146928.8 	146323.7 	150516.8 	155794.1 	165643.7 	175042.7 	187581.7 	193287.6 
MIO_EXP_VAL,TOTAL,EU28,EU28	2680876.2 	2739506.4 	2213929.7 	2556551.5 	2823400.6 	2838847.0 	2839008.8 	2932501.8 	3069108.9 	3115891.0 	3352525.6 	3519333.8 
MIO_EXP_VAL,TOTAL,EU28,FI	37380.4 	36728.5 	25104.6 	28536.7 	31737.6 	30539.1 	30978.9 	32080.8 	31791.6 	30674.9 	35854.4 	38087.5 
MIO_EXP_VAL,TOTAL,EU28,FR	268038.9 	268041.8 	217730.4 	240934.2 	261408.7 	260909.1 	259536.0 	263271.1 	268685.9 	269293.2 	278535.1 	290840.7 
MIO_EXP_VAL,TOTAL,EU28,HR	5429.5 	5842.4 	4548.2 	5439.3 	5735.8 	5602.3 	5899.3 	6618.1 	7687.3 	8182.9 	9091.0 	9969.2 
MIO_EXP_VAL,TOTAL,EU28,HU	55997.8 	58836.4 	47717.9 	56469.4 	62457.6 	62398.1 	63003.8 	66611.5 	72239.6 	74950.4 	81842.2 	87149.5 
MIO_EXP_VAL,TOTAL,EU28,IE	56317.5 	53739.5 	50893.8 	51158.6 	53191.5 	54687.6 	50338.4 	50131.7 	58970.2 	59303.1 	62201.0 	70067.5 
MIO_EXP_VAL,TOTAL,EU28,IT	224980.9 	220338.3 	170322.8 	195522.7 	212933.7 	211867.4 	209828.6 	218823.7 	225975.3 	233412.9 	250287.1 	260620.5 
MIO_EXP_VAL,TOTAL,EU28,LT	8110.8 	9702.8 	7591.8 	9553.7 	12371.3 	13925.4 	13612.4 	13358.3 	14048.7 	13721.0 	15409.3 	16599.0 
MIO_EXP_VAL,TOTAL,EU28,LU	14694.5 	15457.0 	13360.9 	11777.2 	12025.0 	11582.4 	11234.9 	11882.7 	12993.8 	11815.8 	11749.9 	11531.3 
MIO_EXP_VAL,TOTAL,EU28,LV	4396.5 	4731.4 	3737.0 	4839.1 	6226.8 	6983.0 	7236.0 	7505.3 	7566.9 	7648.8 	8185.3 	8849.9 
MIO_EXP_VAL,TOTAL,EU28,MT	1110.7 	955.5 	820.6 	1114.3 	1296.0 	1292.6 	1243.4 	1104.1 	1079.1 	1183.5 	1193.2 	1471.2 
MIO_EXP_VAL,TOTAL,EU28,NL	314168.3 	342918.7 	276747.5 	334942.7 	369526.0 	386389.8 	382558.7 	384230.2 	389644.5 	392493.8 	434339.1 	456439.9 
MIO_EXP_VAL,TOTAL,EU28,PL	81007.9 	90538.7 	78199.7 	95579.8 	106014.1 	109962.1 	115755.4 	128290.5 	142449.8 	146806.3 	165861.1 	177217.8 
MIO_EXP_VAL,TOTAL,EU28,PT	29540.3 	28925.2 	23905.4 	28116.7 	31888.1 	32126.0 	33274.9 	34044.8 	36071.1 	37589.6 	40756.9 	44103.7 
MIO_EXP_VAL,TOTAL,EU28,RO	21383.7 	23856.2 	21672.0 	27110.5 	32283.7 	31704.7 	34505.6 	37318.2 	40254.6 	43080.2 	47475.8 	51975.8 
MIO_EXP_VAL,TOTAL,EU28,SE	75496.1 	75020.6 	54833.2 	68382.1 	75357.9 	76397.1 	72777.3 	72447.9 	73826.1 	74449.3 	80162.4 	83612.4 
MIO_EXP_VAL,TOTAL,EU28,SI	16991.2 	17719.8 	14387.2 	17089.0 	19253.6 	18775.5 	19170.2 	20378.9 	21868.5 	22407.8 	25751.4 	28531.5 
MIO_EXP_VAL,TOTAL,EU28,SK	37233.5 	41505.3 	34698.1 	41329.2 	48809.9 	52789.6 	53556.8 	54909.5 	57986.4 	59877.3 	64043.6 	68394.2 
MIO_EXP_VAL,TOTAL,EU28,UK	186658.5 	178528.4 	140321.2 	165678.5 	182672.9 	185030.8 	177224.4 	182059.0 	184245.5 	175564.2 	186352.4 	193736.9 
MIO_IMP_VAL,TOTAL,EU28,AT	95053.4 	98568.4 	80438.1 	93505.8 	106366.7 	106273.6 	105723.0 	105245.9 	108009.0 	111196.1 	120254.0 	126914.6 
MIO_IMP_VAL,TOTAL,EU28,BE	211942.8 	221638.3 	178966.5 	203958.8 	227011.5 	230944.4 	225908.0 	221797.7 	212584.2 	218631.5 	233621.8 	245472.3 
MIO_IMP_VAL,TOTAL,EU28,BG	12859.4 	14292.1 	10154.6 	11292.1 	13926.3 	14960.3 	15423.2 	16112.2 	16953.3 	17378.7 	19331.1 	20403.2 
MIO_IMP_VAL,TOTAL,EU28,CY	4345.7 	4923.9 	4074.4 	4554.1 	4316.0 	3929.3 	3350.3 	3877.8 	4026.9 	4684.4 	4948.8 	5237.6 
MIO_IMP_VAL,TOTAL,EU28,CZ	69144.9 	74336.5 	58855.9 	71627.6 	81585.6 	82993.6 	83457.2 	89939.2 	98509.6 	101831.4 	112759.6 	119193.1 
MIO_IMP_VAL,TOTAL,EU28,DE	498008.2 	513521.8 	429510.5 	503601.2 	572521.0 	571224.3 	575080.4 	594814.3 	621621.7 	632344.5 	682237.9 	722546.5 
MIO_IMP_VAL,TOTAL,EU28,DK	52111.2 	53287.9 	41691.5 	43784.8 	48441.7 	50231.9 	51502.2 	52106.8 	53620.5 	55105.3 	57655.6 	60700.7 
MIO_IMP_VAL,TOTAL,EU28,EE	8994.8 	8696.9 	5844.1 	7396.0 	9585.0 	10953.9 	11408.9 	11259.2 	10690.2 	11048.9 	11971.5 	12410.8 
MIO_IMP_VAL,TOTAL,EU28,EL	36144.7 	36689.7 	30338.8 	27424.9 	25183.7 	22814.3 	22198.8 	23310.9 	23089.9 	24208.4 	26190.4 	28392.4 
MIO_IMP_VAL,TOTAL,EU28,ES	179047.6 	169645.5 	131101.4 	145622.3 	154021.0 	142377.0 	141695.5 	154838.1 	170836.8 	173879.3 	186039.9 	191976.4 
MIO_IMP_VAL,TOTAL,EU28,EU28	2613688.7 	2665329.7 	2148133.0 	2485788.4 	2756182.3 	2771133.1 	2771843.6 	2858005.9 	2995791.2 	3046147.7 	3284031.4 	3446976.9 
MIO_IMP_VAL,TOTAL,EU28,FI	38202.0 	38725.1 	28407.8 	33318.0 	37247.3 	37393.0 	38704.2 	39356.3 	39757.3 	40170.3 	44787.0 	46582.0 
MIO_IMP_VAL,TOTAL,EU28,FR	320101.9 	332414.4 	280860.2 	315589.7 	348570.2 	352005.8 	348512.4 	347757.2 	355616.2 	358791.2 	381419.7 	393502.7 
MIO_IMP_VAL,TOTAL,EU28,HR	12198.4 	13349.5 	9543.7 	9109.6 	10065.3 	10134.1 	11089.9 	13071.5 	14427.9 	15225.2 	17084.7 	18466.1 
MIO_IMP_VAL,TOTAL,EU28,HU	48654.1 	50774.9 	38431.6 	45251.7 	51333.9 	52371.7 	54060.4 	59376.0 	63520.2 	65896.0 	72396.6 	77131.2 
MIO_IMP_VAL,TOTAL,EU28,IE	42803.6 	39913.3 	29461.3 	31441.7 	34827.1 	35299.3 	37277.8 	41410.6 	45901.5 	48087.2 	54201.4 	58106.6 
MIO_IMP_VAL,TOTAL,EU28,IT	216851.2 	210166.7 	172234.4 	202870.4 	217243.9 	202805.3 	200167.7 	203890.0 	217390.4 	223337.0 	241564.5 	250253.7 
MIO_IMP_VAL,TOTAL,EU28,LT	12179.5 	12174.0 	7757.2 	9993.5 	12954.8 	14341.4 	15808.8 	16982.1 	17198.7 	17539.6 	20143.9 	21107.7 
MIO_IMP_VAL,TOTAL,EU28,LU	15070.5 	16328.8 	12971.4 	15013.5 	16911.2 	16347.7 	15863.8 	16087.7 	15181.9 	15221.2 	16823.9 	17750.6 
MIO_IMP_VAL,TOTAL,EU28,LV	8666.8 	8292.4 	5311.1 	6713.9 	9087.1 	10483.6 	10761.6 	10700.4 	10365.8 	10364.6 	11707.9 	12205.2 
MIO_IMP_VAL,TOTAL,EU28,MT	2591.7 	2754.5 	2408.3 	2679.3 	3337.2 	3957.5 	3288.2 	3217.9 	3633.4 	3235.7 	3202.0 	3867.0 
MIO_IMP_VAL,TOTAL,EU28,NL	176695.6 	190112.8 	155914.7 	181535.2 	199271.8 	207625.0 	205613.9 	203355.9 	211692.8 	212262.2 	233818.0 	249971.1 
MIO_IMP_VAL,TOTAL,EU28,PL	88688.9 	102110.0 	77855.8 	95137.5 	105934.8 	104926.1 	107822.0 	117266.9 	125324.8 	130547.7 	148326.2 	156513.5 
MIO_IMP_VAL,TOTAL,EU28,PT	45891.8 	48011.1 	40384.0 	44803.9 	43678.9 	40294.1 	41065.5 	44142.6 	46186.0 	47816.0 	53110.2 	56802.9 
MIO_IMP_VAL,TOTAL,EU28,RO	36643.6 	39888.6 	28516.7 	34027.1 	40018.3 	40240.0 	41913.7 	44127.3 	48595.0 	51950.7 	57273.1 	61868.0 
MIO_IMP_VAL,TOTAL,EU28,SE	79512.6 	79259.6 	58428.2 	75357.3 	86722.4 	86151.6 	83264.0 	83986.5 	87356.7 	90592.2 	96770.6 	100595.0 
MIO_IMP_VAL,TOTAL,EU28,SI	18057.2 	18985.2 	14344.4 	16477.6 	18421.9 	17958.8 	17603.8 	17655.9 	18811.8 	19567.2 	22143.0 	24045.5 
MIO_IMP_VAL,TOTAL,EU28,SK	33063.2 	36769.4 	29927.7 	35363.4 	42066.4 	44413.0 	45727.2 	46920.2 	52056.8 	54676.2 	58833.0 	63750.3 
MIO_IMP_VAL,TOTAL,EU28,UK	250163.4 	229698.5 	184398.9 	218337.4 	235531.1 	257682.8 	257551.3 	275398.7 	302832.1 	290558.7 	295414.9 	301210.1 
